spectra names,source,Class,SubClass,Type,Date,Brightness,wkt
SCCCW_Confier_PV_2,C:\Users\91908\Downloads\_11_S_MU_2018_10_16.tif,Southern California Mountains (SCM),Conifer,PV,"PyQt5.QtCore.QDate(2018, 10, 01)",0.196277778,Point (-117.74290158487448821 34.32748704473102919)
SCCCW_Shrubland_NPV_6,C:\Users\91908\Desktop\USA\2. CU Boulder\Earth Lab\Images\_11_S_KU_2018_10_24.tif,Southern California Mountains (SCM),Shrubland,NPV,"PyQt5.QtCore.QDate(2018, 10, 01)",0.200911111,Point (-119.2987397631957549 34.72003926618932468)
SCCCW_Hardwood_NPV_12,C:\Users\91908\Downloads\_11_S_LV_2018_10_16.tif,Southern California Mountains (SCM),Hardwood,NPV,"PyQt5.QtCore.QDate(2018, 10, 01)",0.161711111,Point (-118.42738937454330994 35.21413581487955469)
SCCCW_Conifer_NPV_4,C:\Users\91908\Downloads\_11_S_LV_2018_10_16.tif,Southern California Mountains (SCM),Conifer,NPV,"PyQt5.QtCore.QDate(2018, 10, 01)",0.165888889,Point (-118.2916775810418244 35.40501311377822447)
SCCCW_Shrubland_NPV_17,C:\Users\91908\Desktop\USA\2. CU Boulder\Earth Lab\Images\_11_S_KU_2018_3_23.tif,Southern California Mountains (SCM),Shrubland,NPV,"PyQt5.QtCore.QDate(2018, 03, 01)",0.127511111,Point (-119.31203879216678843 34.7189902845169911)
SCCCW_Shrubland_PV_25,C:\Users\91908\Downloads\_11_S_LU_2018_3_30.tif,Southern California Mountains (SCM),Shrubland,PV,"PyQt5.QtCore.QDate(2018, 03, 01)",0.229355556,Point (-118.31350406235442563 34.42753821752336307)
SCCCW_Conifer_NPV_30,C:\Users\91908\Downloads\_11_S_NT_2018_3_5.tif,Southern California Mountains (SCM),Conifer,NPV,"PyQt5.QtCore.QDate(2018, 03, 01)",0.145755556,Point (-116.97772686113410145 34.04787401175549633)
SCCCW_Shrubland_Soil_5,C:\Users\91908\Desktop\USA\2. CU Boulder\Earth Lab\Images\SCCCW\2018\3\_11_S_KU_2018_3_23.tif,Southern California Mountains (SCM),Shrubland,Soil,"PyQt5.QtCore.QDate(2018, 03, 01)",0.207611111,Point (-119.33909085856538468 34.8155860119737639)
SCCCW_Confier_PV_42,C:\Users\91908\Downloads\_11_S_NT_2018_8_24.tif,Southern California Mountains (SCM),Conifer,PV,"PyQt5.QtCore.QDate(2018, 08, 01)",0.193233333,Point (-116.80092139540285245 34.01713773768130267)
SCCCW_Hardwood_Rock_10,C:\Users\91908\Desktop\USA\2. CU Boulder\Earth Lab\Images\SCCCW\2018\8\_11_S_KU_2018_12_8.tif,Southern California Mountains (SCM),Hardwood,Rock,"PyQt5.QtCore.QDate(2018, 08, 01)",0.051511111,Point (-119.89859699359212186 34.51478206077135269)
SCCCW_Hardwood_Soil_1,C:\Users\91908\Desktop\USA\2. CU Boulder\Earth Lab\Images\_11_S_KU_2019_1_27.tif,Southern California Mountains (SCM),Hardwood,Soil,"PyQt5.QtCore.QDate(2019, 01, 01)",0.147122222,Point (-119.59210999645522122 34.69307359702532523)
SCCCW_Hardwood_Soil_3,C:\Users\91908\Desktop\USA\2. CU Boulder\Earth Lab\Images\_11_S_KU_2019_1_27.tif,Southern California Mountains (SCM),Hardwood,Soil,"PyQt5.QtCore.QDate(2019, 01, 01)",0.130711111,Point (-119.59196431565911212 34.69379676279828573)
SCCCW_Shrubland_Soil_16,C:\Users\91908\Desktop\USA\2. CU Boulder\Earth Lab\Images\_11_S_KU_2019_1_27.tif,Southern California Mountains (SCM),Shrubland,Soil,"PyQt5.QtCore.QDate(2019, 01, 01)",0.149211111,Point (-119.3489498999226015 34.82007812684602044)
SCCCW_Conifer_NPV_63,C:\Users\91908\Downloads\_11_S_LV_2019_1_4.tif,Southern California Mountains (SCM),Conifer,NPV,"PyQt5.QtCore.QDate(2019, 01, 01)",0.106333333,Point (-118.55140375751349779 35.68523721055030506)
